"","Tumor.Type","X1","X2","X3","X.2","X.3"
"1","SKCM",0.456579968808,0.121906187276,0.222964325428,0.0361781140943,0.162371404393
"2","UCEC",0.0444608483334,0.752086763954,0.018056896258,0.18142070297,0.00397478848447
"3","GBM",0.377532531708,0.304233239993,0.106736946137,0.124608795915,0.0868884862461
"4","BRCA",0.149410282144,0.628964466009,0.0824473102376,0.0803117996393,0.05886614197
"5","PANCAN",0.305441853914,0.403502694581,0.126259775356,0.0822074175323,0.0825882586172
"6","READ",0.555830351505,0.259208587666,0.0513576089244,0.0950326247106,0.0385708271943
"7","PRAD",0.447447924948,0.156145651137,0.0291779297186,0.326363491811,0.0408650023851
"8","LUSC",0.127889535174,0.56251562474,0.127122881285,0.103198280029,0.079273678772
"9","COAD",0.603623508617,0.191455217806,0.0720515384794,0.0920994487988,0.040770286299
"10","THCA",0.715254237288,0.161355932203,0.0176271186441,0.0908474576271,0.0149152542373
"11","BLCA",0.27290222299,0.343366805655,0.191310355037,0.0858602057684,0.10656041055
"12","KIRP",0.636692570207,0.0761893014268,0.153118704001,0.0516837301098,0.082315694256
"13","KICH",0.354883628407,0.121543664213,0.247662621842,0.033817386115,0.242092699423
"14","PANCAN",0.305441853914,0.403502694581,0.126259775356,0.0822074175323,0.0825882586172
"15","CESC",0.154149812369,0.537989180759,0.0566791753984,0.216384814075,0.0347970173985
"16","STAD",0.598082939493,0.213605804433,0.1197164348,0.0125474272782,0.0560473939959
"17","HNSC",0.357069083114,0.318873623697,0.162252752606,0.0590665497418,0.102737990841
"18","LUAD",0.223410465361,0.41406122306,0.167149228291,0.0915660681346,0.103813015154
"19","OV",0.0479970704785,0.772255862312,0.0472516118907,0.093888547402,0.0386069079162
"20","KIRC",0.327193784278,0.374268738574,0.0707038391225,0.163299817185,0.064533820841
"21","PAAD",0.706932270916,0.076812749004,0.122815405046,0.0100398406375,0.0833997343958
